"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","out1ap [kWh]","out2ap [kWh]","out3ap [kWh]","out4ap [kWh]","Ap Grid [kWh]"
2014-04-20 00:00:00,43.347735278,858.198514444,216.205499167,54.276136944,104.096833056,274.322361944,858.198514444,15.473925833,27.873809444,-222.715451389,535615333416.000000000,3374722241175.000000000,3239589735461.000200000,215.443149167,53.059222500,103.288154722,273.703010556,28.258262500
2014-04-19 00:00:00,43.347053611,852.786498611,216.200571111,54.271819167,103.258036111,273.723707500,852.786498611,15.473244167,27.873809444,-221.657423056,533420799285.000020000,3354737901032.999700000,3235269354023.000000000,215.444091667,53.061648056,102.449358611,273.105843889,28.256455556
2014-04-18 00:00:00,43.346192500,847.192283333,215.204725278,54.267993333,102.573140556,273.221766389,847.192283333,15.472383056,27.873809444,-220.604859444,531248706807.999960000,3334756710385.000100000,3230948972256.000000000,214.452267778,53.064627778,101.764469167,272.605597222,28.253696667
2014-04-17 00:00:00,43.345466944,841.688684167,215.199919167,54.263741111,102.034803333,272.366901111,841.688684167,15.471657500,27.873809444,-219.570589167,529099015214.000040000,3314772726898.999800000,3226628589787.999900000,214.452634444,53.066505278,101.226170278,271.752112778,28.251974722
2014-04-16 00:00:00,43.343725000,836.606133056,213.660832500,54.259366667,101.167840000,271.849262778,836.606133056,15.469915556,27.873809444,-218.541799167,526975447730.000010000,3294807666822.000100000,3222308208586.999700000,212.916608611,53.069586111,100.360535833,271.236673611,28.248046667
2014-04-15 00:00:00,43.342752500,832.614394167,212.444604722,54.255258056,100.987969444,270.508746111,832.614394167,15.468943056,27.873809444,-217.549603611,524866353331.000030000,3274834721276.000100000,3217987826413.000200000,211.703803333,53.072321667,100.182554167,269.898690556,28.245074167
2014-04-14 00:00:00,43.341536944,827.312383611,211.755896389,54.251660000,100.481491944,267.352926944,827.312383611,15.467727500,27.873809444,-216.595692778,522750392894.999980000,3254864961331.999800000,3213667446923.999700000,211.019835556,53.076362222,99.676170278,266.743628889,28.241466389
2014-04-13 00:00:00,43.340685000,821.994121111,211.751297778,54.244879722,100.457057778,264.035261667,821.994121111,15.466875556,27.873809444,-215.639923333,520627162061.999970000,3234896950939.999800000,3209347064990.000100000,211.021144444,53.076453889,99.652109167,263.425963611,28.238729444
2014-04-12 00:00:00,43.339637222,815.934335556,211.747251111,54.241388889,100.274635556,259.382853889,815.934335556,15.465827778,27.873809444,-214.655693611,518509340427.000040000,3214892091560.000100000,3205026685555.999800000,211.023781111,53.080606389,99.470281389,258.773555833,28.235212500
2014-04-11 00:00:00,43.338528889,809.954332778,211.743113889,54.237785278,100.208967222,255.004523056,809.954332778,15.464719444,27.873809444,-213.659878611,516387502343.000050000,3194879566320.999800000,3200706303325.999900000,211.025947500,53.084253056,99.405168611,254.395334444,28.231831111
2014-04-10 00:00:00,43.337297778,803.607211111,210.946839444,54.234372222,100.189782222,250.780146389,803.607211111,15.463488333,27.873809444,-212.651493889,514260470785.999950000,3174888348694.999800000,3196385922702.999700000,210.233567778,53.088268056,99.388358056,250.172280000,28.227788611
2014-04-09 00:00:00,43.336316389,797.104746389,210.180588889,54.230244167,100.158400278,248.665121944,797.104746389,15.462506944,27.873809444,-211.694460833,512149223688.000020000,3155290784614.999800000,3191785620217.000200000,209.470987222,53.091046389,99.359070278,248.060151944,28.224987778
2014-04-08 00:00:00,40.902786389,790.818533611,209.241241944,54.014620556,99.802352778,245.152393611,790.818533611,13.028976944,27.873809444,-210.732336389,510045404708.000000000,3141798139861.000100000,3176198838378.999800000,208.534516111,52.881211111,99.003859444,244.547953056,28.228704444
2014-04-07 00:00:00,40.902901389,787.261005556,209.238188889,53.779962222,99.799395000,244.652272222,787.261005556,13.029095556,27.873805833,-209.838433611,507998988622.000030000,3134235918300.999900000,3148972408802.999800000,208.534915833,52.649188333,99.004907778,244.049962222,28.228309444
2014-04-06 00:00:00,40.902431111,784.170239167,209.231722778,53.773931389,99.793671111,242.538486667,784.170239167,13.028639444,27.873791667,-208.959770278,505969515800.000010000,3114254929623.000000000,3144652025040.000000000,208.535771111,52.651167778,99.009138611,241.941279167,28.226899167
2014-04-05 00:00:00,40.901799167,779.925689167,209.225155833,53.767708056,99.788005278,239.247713056,779.925689167,13.028019722,27.873779444,-208.078971944,503936525340.999960000,3094271882825.999800000,3140331642965.000200000,208.537606667,52.653961389,99.015769167,238.654841667,28.225043889
2014-04-04 00:00:00,40.901195833,775.176794444,209.218942778,52.404630000,99.781881111,236.838574444,775.176794444,13.027420000,27.873775833,-207.187745556,501898265995.000000000,3074295965213.000100000,3136011262376.999800000,208.541928611,51.296009167,99.022096667,236.249877778,28.222110556
2014-04-03 00:00:00,40.900181944,770.075523333,209.214242222,51.102954444,99.777515556,233.678976944,770.075523333,13.026406111,27.873775833,-206.295489722,499850521827.000020000,3054319884158.999900000,3131690879830.999900000,208.546908611,49.998241667,99.030092222,233.093882778,28.218989167
2014-04-02 00:00:00,39.453023889,765.037131389,209.210932778,50.260217778,99.774691389,230.286404722,765.037131389,11.579248056,27.873775833,-205.399914444,497797445760.000050000,3040111641371.999900000,3120496107750.999900000,208.550740833,49.158875000,99.037939722,229.703468611,28.221301389
2014-04-01 00:00:00,39.453238333,761.277758611,209.207310833,49.418321667,99.771824444,227.150708611,761.277758611,11.579469444,27.873768889,-204.492646389,495765386776.000020000,3027773250827.000100000,3106507010097.000000000,208.554297500,48.320000278,99.045128889,226.567911111,28.220061944
2014-03-31 00:00:00,39.452491667,758.250947222,209.202167500,48.633540556,99.767551111,224.127058611,758.250947222,11.578722778,27.873768889,-203.581181389,493706111969.999960000,3007808285993.999800000,3102186625738.000200000,208.557683056,47.540203611,99.052253889,223.545973611,28.217758611
2014-03-30 00:00:00,39.451563056,753.566797222,209.196893056,48.628610000,99.762997222,221.687614444,753.566797222,11.577794167,27.873768889,-202.675645278,491624224193.999940000,2987830902821.000200000,3097866242214.000200000,208.559145833,47.542662778,99.057364167,221.110312500,28.216075000
2014-03-29 00:00:00,39.450676389,749.822358889,209.190991944,48.341627778,99.757580833,219.525837222,749.822358889,11.576907500,27.873768889,-201.769369722,489549593245.999990000,2967864449338.999900000,3093545857081.000200000,208.560988056,47.262161111,99.062047778,218.953363889,28.214492500
2014-03-28 00:00:00,35.442049722,748.717356944,209.134968056,47.531332500,99.751408056,218.083694167,748.717356944,7.568288056,27.873761667,-200.888853333,487490733039.000030000,2949944387552.999800000,3085879912641.000100000,208.512298889,46.457329167,99.065095556,217.516971389,28.225446389
2014-03-27 00:00:00,35.441174167,744.495642778,209.129933056,46.094284444,99.746535556,215.596349167,744.495642778,7.567412500,27.873761667,-199.989856111,485439926416.999990000,2929969910981.000000000,3081559529420.999800000,208.516976667,45.024510278,99.071670000,215.033471389,28.222685556
2014-03-26 00:00:00,35.440374444,740.122113611,207.809440556,44.631807778,99.740987222,215.249478611,740.122113611,7.566616111,27.873758333,-199.086440000,483378387881.000040000,2910008569628.000200000,3077239145389.999700000,207.202883611,43.564444722,99.074377222,214.693435278,28.219388611
2014-03-25 00:00:00,35.439299444,736.715440278,207.804255000,43.360115556,99.735845000,212.914090278,736.715440278,7.565549722,27.873749722,-198.174748889,481314043064.999930000,2890052059901.999800000,3072918760830.000000000,207.207539444,42.292752500,99.080788056,212.359646389,28.216840000
2014-03-24 00:00:00,35.438252222,734.366840556,207.799528056,42.873632500,99.731625278,210.134709167,734.366840556,7.564502500,27.873749722,-197.235488333,479231880638.000010000,2870086021420.999700000,3068598377788.000100000,207.210577778,41.808169722,99.087328333,209.581957500,28.214644444
2014-03-23 00:00:00,35.437282778,731.979493611,207.794992500,42.707985000,99.728075000,207.361662222,731.979493611,7.563533056,27.873749722,-196.261656389,477130744734.000020000,2850097727139.000200000,3064277995788.000200000,207.213332778,41.645733611,99.093703889,206.811817778,28.212511667
2014-03-22 00:00:00,35.436871389,728.001575000,207.791731667,42.020255556,99.725769722,204.503336667,728.001575000,7.563121667,27.873749722,-195.189752222,475007701731.000060000,2834901844445.999800000,3057453816486.999900000,207.217385833,40.960042778,99.100898889,203.955101667,28.210488611
2014-03-21 00:00:00,35.436154167,723.371073333,207.788761111,41.353029167,99.723571389,201.902427500,723.371073333,7.562404444,27.873749722,-194.110072778,472875938861.999980000,2821379980756.000200000,3047998337594.000100000,207.220885556,40.294297222,99.107386667,201.355358611,28.208668056
