"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","Ap Grid [kWh]","out4ap [kWh]","out3ap [kWh]","out2ap [kWh]","out1ap [kWh]"
2014-04-22 00:00:00,143.977373889,458.390033056,320.869387222,4.694002778,111.886623611,140.167891389,458.390033056,136.881346667,7.096027222,-200.175537500,789166207240.999930000,4101098529178.000000000,2934030358791.000200000,-39.256446667,35.595931389,53.816265000,-170.657234444,256.093288889
2014-04-21 00:00:00,143.979712500,453.176211111,320.725305833,4.668346667,111.864810278,139.201280000,453.176211111,136.886147778,7.093564722,-199.262520556,786849521664.000030000,4081181417483.000100000,2929709924635.999700000,-39.248451111,34.645857222,53.820471389,-170.659112778,255.953586667
2014-04-20 00:00:00,143.982915000,448.036375556,320.634287222,4.644186667,111.844827778,137.876014722,448.036375556,136.891179444,7.091735556,-198.361828056,784560549078.999990000,4061269157383.999800000,2925389489605.000000000,-39.240579444,33.330628333,53.825607500,-170.660918333,255.871816667
2014-04-19 00:00:00,143.986791111,442.852274444,320.561329167,4.622032222,111.827113333,136.484753056,442.852274444,136.895756389,7.091034722,-197.476126944,782298488819.999930000,4041363331998.999700000,2921069056841.999800000,-39.232440000,31.950086389,53.831498611,-170.662653333,255.809860278
2014-04-18 00:00:00,143.991008889,438.239285833,318.872071389,4.584524444,111.335938611,134.578272778,438.239285833,136.900836111,7.090172778,-196.590088611,780060381260.999910000,4021458572871.999700000,2916748622789.000200000,-39.223453889,30.062337222,53.358409444,-170.685760000,254.123643333
2014-04-17 00:00:00,143.995162778,432.930290833,318.822364444,4.514346111,110.901814167,131.571149167,432.930290833,136.905888333,7.089274444,-195.706415556,777809783930.000060000,4001549347411.000100000,2912428188888.999800000,-39.214317500,27.055213611,52.945655556,-170.741469167,254.087853333
2014-04-16 00:00:00,143.999531111,427.547922778,318.774816667,4.471106111,109.282739722,129.050138056,427.547922778,136.911785556,7.087745556,-194.809983611,775566018746.999970000,3982550621044.999900000,2907144134416.000200000,-39.145357778,24.547482500,51.345724167,-170.762973611,254.062107222
2014-04-15 00:00:00,144.004009722,423.916483333,318.091651389,4.418886389,108.862920000,126.148715556,423.916483333,136.917393611,7.086616111,-193.900765000,773326001652.000060000,3964804730767.999800000,2900629965958.999900000,-38.994268889,21.655202500,50.949616389,-170.798648611,253.390537778
2014-04-14 00:00:00,144.008778611,418.444138056,317.963778889,4.398767500,105.537132778,123.821817500,418.444138056,136.923703333,7.085075278,-192.998760000,771085079021.000020000,3944890954641.000000000,2896309530544.000200000,-38.984210556,19.343982500,47.640150833,-170.792136944,253.267881667
2014-04-13 00:00:00,144.010894167,414.339600556,317.828610556,4.375033333,105.517325833,121.596680000,414.339600556,136.928078333,7.082815833,-192.086158056,768825465585.999960000,3924978020040.000000000,2891989095192.000200000,-38.975225833,17.129144722,47.645796667,-170.793163889,253.141216944
2014-04-12 00:00:00,138.999192222,408.992117778,317.367509722,4.322990278,99.798648333,120.361110833,408.992117778,131.918029444,7.081162778,-191.244069167,766595912792.000050000,3907236996776.000200000,2886485692544.999700000,-38.809521111,15.924405556,42.006300833,-170.819725278,252.696178056
2014-04-11 00:00:00,139.002855278,404.121003333,317.266016111,4.247786944,98.123798889,118.194565278,404.121003333,131.923949722,7.078905556,-190.449714722,764367420406.000010000,3887328405573.999800000,2882165269764.000100000,-38.800617778,13.762875278,40.348490278,-170.874175000,252.619083889
2014-04-10 00:00:00,139.007753056,397.928418333,314.322263333,4.225804722,94.885907778,117.339314722,397.928418333,131.930746667,7.077006389,-189.503685278,762133776327.000020000,3867422794514.999900000,2877844844225.999700000,-38.790548056,12.922105278,37.117314167,-170.869073889,249.690961667
2014-04-09 00:00:00,139.013801111,391.933007222,314.306945833,4.205234444,92.650968611,114.782927500,391.933007222,131.937493333,7.076307778,-188.573130833,759881843756.000040000,3847513080676.000100000,2873524404099.000000000,-38.780630278,10.368470000,34.898247778,-170.866586944,249.705293333
2014-04-08 00:00:00,139.019511944,386.263993056,312.775755000,4.180733333,90.867831944,111.568993056,386.263993056,131.944342778,7.075169167,-187.636197500,757629135810.000060000,3827612788536.999800000,2869203955493.999700000,-38.770174722,7.160996389,33.134760833,-170.871033889,248.196656667
2014-04-07 00:00:00,139.025153889,382.073280278,312.319739167,4.133916944,89.355836667,108.832181111,382.073280278,131.950756667,7.074397222,-186.688600556,755352178502.000090000,3810606341442.000200000,2862346687059.000100000,-38.461014167,4.432692222,31.647105556,-170.903694722,247.766566667
2014-04-06 00:00:00,139.029728889,378.036133333,311.613073056,4.090419444,89.334724167,106.293405556,378.036133333,131.956493889,7.073235000,-185.756408056,753084184032.999990000,3793090266686.000200000,2855414130325.999800000,-38.252717500,1.907724444,31.644017778,-170.934421111,247.077500278
2014-04-05 00:00:00,129.370054722,373.941147222,308.258929444,4.024043056,88.080030000,104.695506944,373.941147222,122.297393333,7.072661389,-184.829272500,750819202532.999990000,3776371491057.999700000,2848347921649.000000000,-38.236897222,0.328305833,30.402658889,-170.985835833,243.731313056
2014-04-04 00:00:00,129.378937778,368.811045000,305.907002778,3.971425278,84.344209167,102.885950556,368.811045000,122.306690000,7.072247778,-184.130281944,748646649070.999970000,3761577594706.000000000,2834629998632.000000000,-38.224911111,-1.477098889,26.678728889,-171.021050000,241.388189444
2014-04-03 00:00:00,129.385834444,363.608941111,303.176275000,3.903598889,82.794726111,99.175163889,363.608941111,122.314598056,7.071236389,-183.277153056,746421698893.000000000,3741694709399.999900000,2830294279902.999900000,-38.213085833,-5.187837778,25.151380556,-171.066323889,238.674896944
2014-04-02 00:00:00,129.391662778,358.751851111,302.444575833,3.883598056,79.383341944,95.656325278,358.751851111,122.322151667,7.069511111,-182.396148889,744166309753.999940000,3721783621527.000000000,2825973846772.000100000,-38.202150278,-8.703103611,21.750159444,-171.058100556,237.972923889
2014-04-01 00:00:00,127.379560833,355.074842222,300.985662778,3.865934722,75.818737500,92.639331111,355.074842222,120.310953056,7.068607778,-181.503891111,741867126207.000010000,3702200770907.999800000,2821656043754.000000000,-38.188724444,-11.700227500,18.191495278,-171.049962500,236.535702222
